x0,y0,x1,y1,name,elev_in,elev_out,length,junc_in,junc_out,roughness,elev_in_of,elev_out_of
12710190.554,2549843.2028,12710177.8136,2549851.9231,SWD4031445,26.22,25.44,15.438958,SMH4028545,SMH4028546,0.015,0.0,0.0
12710211.5545,2549944.5185,12710249.0892,2549918.3099,SWD4031448,31.22,30.92,45.779301,SMH4028548,SMH4028549,0.015,0.0,0.0
12710286.5867,2549891.4954,12710294.0654,2549868.7695,SWD4031451,29.49,27.32,23.92483,SMH4028551,SMH4028552,0.015,0.0,0.0
12710278.4051,2549832.5127,12710267.5136,2549812.6643,SWD4031454,26.6,26.39,22.640313,SMH4028554,SMH4028555,0.015,0.0,0.0
12710378.7028,2549966.019,12710376.2066,2549975.6796,SWD4031520,16.48,16.28,9.977886,SMH4028617,SMH4059901,0.015,0.0,0.0
12710342.8539,2550048.2503,12710337.111,2550059.0685,SWD4031525,13.23,13.05,12.248035,SMH4028622,SMH4028623,0.015,0.0,0.0
12710214.6459,2550159.0008,12710231.6637,2550154.9169,SWD4031534,12.25,11.763,17.500964,SMH4028629,SMH4028630,0.015,0.0,0.0
12710407.1569,2550167.2977,12710373.3635,2550151.0239,SWD4031553,15.94,15.46,37.507739,SMH4028648,SMH4028649,0.015,0.0,0.0
12710384.3784,2550098.1875,12710328.9777,2550071.1244,SWD4031573,13.55,12.95,61.657513,SMH4028668,SWD40315731,0.015,0.0,0.0
12710386.0108,2550086.377,12710380.8186,2550098.0763,SWD4031576,15.77,14.13,12.799709,SMH4028671,SMH4028655,0.015,0.0,0.0
12710553.155,2549310.4792,12710555.2297,2549319.524,SWD4032058,46.42,46.12,9.279698,SWD4032058,SMH4029113,0.015,0.0,0.0
12710621.6638,2549384.1894,12710612.3519,2549417.8145,SWD4032064,45.73,42.75,34.89067,SMH4029119,SMH4029120,0.015,0.0,0.0
12710002.3501,2549495.8171,12710001.6427,2549487.6447,SWD4031930,22.87,22.45,8.202959,SMH4028988,SMH4028989,0.015,0.0,0.0
12709967.7552,2549403.7088,12709961.1429,2549421.9076,SWD4031935,9.68,8.87,19.362821,SMH4028993,SMH4028994,0.015,0.0,0.03999999999999915
12710497.4734,2549977.0412,12710502.8534,2549982.7232,SWD4031621,24.87,24.57,7.82493,SWD4031621,SMH4028662,0.015,0.0,0.3099999999999987
12710359.9513,2549893.4382,12710360.1357,2549888.5336,SWD4031611,18.45,18.15,4.908065,SMH4028700,SMH4028701,0.015,0.0,0.0
12710427.8618,2549184.7862,12710397.7147,2549207.1059,SWD4031983,46.13,43.99,37.510221,SMH4029046,SMH4029047,0.015,0.0,0.0
12710319.3981,2549238.8132,12710268.6478,2549258.6862,SWD4031986,38.44,36.19,54.50256,SMH4029049,SMH4029050,0.015,0.0,0.0
12710223.0967,2549348.2556,12710231.5526,2549379.8502,SWD4031989,29.78,29.68,32.706589,SMH4029054,SMH4029055,0.015,0.0,0.0
12710192.7842,2549386.4778,12710161.0783,2549391.3908,SWD4031992,29.57,29.47,32.08429,SMH4029057,SMH4029058,0.015,0.129999999999999,0.0
12710164.9328,2549421.7262,12710160.4443,2549431.3181,SWD4031994,28.28,27.74,10.590145,SMH4029059,SMH4029060,0.015,0.0,0.0
12710669.0444,2550240.3072,12710634.4676,2550222.9206,SWD4031632,24.82,24.45,38.702054,SMH4028719,SMH4028720,0.015,0.0,0.0
12709876.9886,2549856.3033,12709882.0507,2549842.748,SWD4031382,6.92,6.729,14.469658,SMH4028485,SWD40313821,0.015,0.0,0.0
12709880.3443,2549823.4557,12709882.5245,2549817.4934,SWD4031386,7.39,7.15,6.348409,SMH4028490,SMH4028491,0.015,0.0,0.0
12709891.4875,2549826.8359,12709891.5457,2549817.2968,SWD4031389,7.49,7.07,9.539278,SMH4028494,SMH4028492,0.015,0.0,0.7000000000000002
12709903.6187,2549767.9707,12709905.5891,2549762.7861,SWD4031392,6.75,6.699,5.5464,SMH4028497,SMH4079880,0.015,0.0,0.0
12709901.8819,2549790.6363,12709913.2877,2549762.109,SWD4031395,6.44,6.34,30.722941,SMH4028501,SMH4028502,0.015,0.1900000000000004,0.0
12710025.1832,2549908.2177,12710010.1173,2549886.7464,SWD4031405,7.13,6.9,26.229717,SMH4028510,SMH4028511,0.015,0.0,0.0
12710788.9649,2549917.5497,12710798.6864,2549884.9498,SWD4031705,46.69,45.46,34.01854,SMH4028784,SMH4028785,0.015,0.0,0.0
12710940.6989,2549331.0517,12710938.3226,2549311.7525,SWD4065603,68.7,67.94,19.444946,SMH4056306,SMH4029154,0.015,0.0,0.1799999999999926
12710863.9639,2549265.4567,12710840.7983,2549263.3716,SWD4065607,62.27,61.06,23.259249,SMH4056307,SMH4029158,0.015,0.0,0.0800000000000054
12710641.9095,2549303.9817,12710633.3605,2549340.5313,SWD4032062,51.94,49.12,37.536098,SWD4032062,SMH4029118,0.015,0.0,0.0
12709842.4216,2549639.6465,12709835.9778,2549640.2694,SWD4068020,3.19,2.89,6.473837,SWD4068020,SBP40129001,0.015,0.0,0.0
12709921.8188,2549747.856,12709932.407,2549761.6895,SWD4068002,6.85,6.8,17.420554,SMH4058124,SMH4058123,0.015,0.0,0.0
12710607.6296,2549914.4009,12710592.7544,2549912.3225,SWD4069640,32.67,32.54,15.019698,SMH4059581,SMH4028677,0.015,0.0,0.0
12710488.4093,2550262.5989,12710491.0225,2550268.3559,SWD4097922,16.1,16.06,6.322331,SWD4097922,SMH4081940,0.015,0.0,0.879999999999999
12710609.6076,2550211.0836,12710599.8891,2550206.3728,SWD4031541,22.85,22.217,10.800041,SMH4028637,SMH4082500,0.015,0.0,0.0
12710699.2874,2549962.1087,12710679.8218,2549966.3392,SWD4031692,35.98,35.68,19.920008,SMH4028772,SMH4097740,0.015,0.0,0.04999999999999716
12710835.4057,2549483.9633,12710820.2816,2549550.251,SWD4032104,70.67,69.47,67.991158,SMH4029150,SMH4029151,0.015,0.0,0.0
12710657.1287,2549966.5852,12710631.3742,2549948.337,SWD4031696,34.35,34.21,31.569148,SMH4028777,SMH4028778,0.015,0.0,0.0
12710813.8147,2549889.2968,12710798.6864,2549884.9498,SWD4031699,45.76,45.46,15.740453,SMH4028783,SMH4028785,0.015,0.0,0.0
12710461.6729,2550271.2265,12710381.2494,2550230.6211,SWD4031301,14.57,13.37,90.09294,SMH4028402,SMH4028405,0.015,0.0,0.0
12710323.9905,2550203.2199,12710261.9613,2550171.2865,SWD4031304,13.69,11.77,69.766494,SMH4028407,SWD4031529,0.015,0.0,0.0
12710105.031,2550082.7435,12710116.9163,2550067.5301,SWD4031311,11.53,11.12,19.305644,SMH4028414,SMH4028415,0.015,0.0,0.0
12710179.9616,2550124.8791,12710163.8028,2550102.3534,SWD4031314,10.769,10.738,27.722085,SMH4028411,SWD40313141,0.015,0.4090000000000007,0.0
12710545.3899,2549557.4318,12710516.9986,2549579.3778,SWD4032070,31.74,28.7,35.884437,SMH4029125,SMH4029126,0.015,0.0,0.0
12709774.4363,2549638.7003,12709797.8894,2549583.0086,SWD4101323,4.97,4.41,60.428581,SMH4084623,SWD41013231,0.015,0.5599999999999996,0.0
12710039.4811,2550152.0207,12710081.675,2550171.5386,SWD4031272,27.85,27.11,46.4895,SMH4028373,SMH4028374,0.015,0.0,0.03999999999999915
12710136.0998,2550205.9222,12710145.4434,2550191.2796,SWD4031276,24.517,17.6,17.369761,SMH4028377,SMH4028378,0.015,0.0,0.0
12710152.2351,2550183.973,12710168.1503,2550171.397,SWD4031279,14.36,13.88,20.284215,SMH4028380,SMH4028381,0.015,0.0,0.0
12710474.6813,2550134.5487,12710467.8135,2550142.1118,SWD4031557,18.09,17.572,10.216025,SMH4028652,SMH4028653,0.015,0.0,0.0
12710536.6064,2549953.3163,12710509.7757,2549972.8997,SWD4031565,29.4,25.67,33.217405,SMH4028660,SMH4028661,0.015,0.0,0.0
12710007.7427,2549542.8875,12710006.565,2549530.8608,SWD4032457,26.03,25.331,12.084225,SMH4028986,SMH4112159,0.015,0.0,0.0
12710546.046,2549953.7345,12710536.6064,2549953.3163,SWD4032491,30.1,29.65,9.448859,SMH4029516,SMH4028660,0.015,0.0,0.25
12710191.6321,2549957.5834,12710174.0927,2549967.6674,SWD4031420,32.76,32.4,20.231599,SMH4028520,SMH4028521,0.015,0.0,0.0
12710141.24,2549956.1729,12710132.4539,2549944.2028,SWD4031423,29.01,27.47,14.84853,SMH4028523,SMH4028524,0.015,0.0,0.0
12710084.0262,2549820.175,12710096.5933,2549806.1467,SWD4031434,13.2,11.85,18.834205,SWD40314341,SMH4028535,0.015,0.0,0.15000000000000036
12710103.7153,2549766.1527,12710102.583,2549747.9309,SWD4031437,10.9,10.34,18.256947,SMH4062321,SMH4028538,0.015,0.0,0.0
12710076.1077,2549764.9517,12710072.9301,2549758.981,SWD4031440,10.48,10.18,6.763609,SWD4031440,SMH4028540,0.015,0.0,0.3100000000000005
12710502.8534,2549982.7232,12710488.8153,2549999.9766,SWD4031567,24.26,22.05,22.242933,SMH4028662,SMH4028663,0.015,0.0,0.3100000000000023
12710427.1342,2550107.3097,12710412.8473,2550099.8793,SWD4031574,17.36,16.96,16.103613,SMH4028669,SMH4028670,0.015,0.0,0.0
12710582.7603,2549897.3014,12710580.9048,2549894.3903,SWD4031586,31.071,30.79,3.452156,SMH4028678,SWD40315861,0.015,0.0,0.0
12710527.165,2549805.4062,12710505.6264,2549766.6349,SWD4031589,27.71,26.255,44.352283,SMH4028681,SMH4059520,0.015,0.0,0.0
12709989.8436,2549879.5197,12709995.9266,2549867.2807,SWD4031409,8.54,7.984,13.667334,SMH4028514,SWD40314091,0.015,0.0,0.0
12710020.4821,2549879.4092,12710010.1173,2549886.7464,SWD4031412,8.97,8.67,12.69896,SWD4031412,SMH4028511,0.015,0.0,1.7699999999999996
12710066.9057,2549998.9628,12710045.1932,2549967.1705,SWD4031415,10.82,10.51,38.49913,SMH4028517,SMH4028518,0.015,0.0,0.0
12710006.565,2549530.8608,12710006.2928,2549528.0816,SWD4134880,25.331,25.17,2.792498,SMH4112159,SMH4028987,0.015,0.0,0.0
12710016.0456,2549533.1196,12710006.565,2549530.8608,SWD4134881,25.631,25.331,9.745971,SWD4134881,SMH4112159,0.015,0.0,0.0
