x0,y0,name,elevation,inv_ele,max_depth,open,InitDepth,SurDepth,Aponded,routing
12709932.0218,2549759.5141,SMH4078080,9.74,6.13,3.61,1,0,0,1,1
12709888.2266,2549808.035,SMH4075020,10.99,7.36,3.63,1,0,0,1,1
12710168.662,2549858.5816,SMH4079260,28.791,25.191,3.6,1,0,0,1,1
12709905.5891,2549762.7861,SMH4079880,10.299,6.699,3.6,1,0,0,1,1
12710491.0225,2550268.3559,SMH4081940,19.66,15.18,4.48,1,0,0,1,1
12709895.4652,2549595.8187,SMH4083760,9.768,6.168,3.6,1,0,0,1,1
12709903.7852,2549573.8043,SMH4083761,10.074,6.474,3.6,1,0,0,1,1
12709908.3,2549561.9662,SMH4083762,10.239,6.639,3.6,1,0,0,1,1
12710599.8891,2550206.3728,SMH4082500,25.94,22.217,3.723,1,0,0,1,1
12710679.8218,2549966.3392,SMH4097740,39.28,35.63,3.65,1,0,0,1,1
12710656.8208,2549959.2123,SMH4097741,38.68,35.08,3.6,1,0,0,1,1
12709772.4514,2549794.1593,SMH4012812,9.93,6.33,3.6,1,0,0,1,1
12709802.971,2549714.0028,SMH4012813,9.11,5.43,3.68,1,0,0,1,1
12709814.6365,2549716.0133,SMH4012814,9.41,5.81,3.6,1,0,0,1,1
12709809.4358,2549709.2802,SMH4012815,9.35,5.75,3.6,1,0,0,1,1
12709820.2593,2549682.0296,SMH4012816,8.79,5.19,3.6,1,0,0,1,1
12709751.811,2549729.0425,SMH4012818,9.07,5.47,3.6,1,0,0,1,1
12709746.1407,2549708.0113,SMH4012819,8.84,5.17,3.67,1,0,0,1,1
12709772.1536,2549673.7844,SMH4012820,9.06,5.46,3.6,1,0,0,1,1
12710052.1528,2549029.1638,SMH4023730,19.33,15.73,3.6,1,0,0,1,1
12710043.8118,2549043.9233,SMH4023731,19.2,15.6,3.6,1,0,0,1,1
12710001.0915,2549123.0305,SMH4023735,18.46,14.86,3.6,1,0,0,1,1
12710557.0623,2549945.6159,SMH4029515,34.2,30.6,3.6,1,0,0,1,1
12710546.046,2549953.7345,SMH4029516,33.7,30.1,3.6,1,0,0,1,1
12710785.6956,2549249.2474,SMH4029159,62.78,59.1,3.68,1,0,0,1,1
12710740.3183,2549238.3827,SMH4029160,62.04,58.35,3.69,1,0,0,1,1
12710669.0444,2550240.3072,SMH4028719,29.79,24.82,4.97,1,0,0,1,1
12710260.6189,2549435.8932,SMH4029081,34.31,30.71,3.6,1,0,0,1,1
