Link,Cshape,Geom1,Geom2,Geom3,Geom4,Barrels,Culvert
SWD4031445,CIRCULAR,0.375,0,0,0,1, 
SWD4031448,CIRCULAR,0.375,0,0,0,1, 
SWD4031451,CIRCULAR,0.45,0,0,0,1, 
SWD4031454,CIRCULAR,0.45,0,0,0,1, 
SWD4031520,CIRCULAR,0.6,0,0,0,1, 
SWD4031525,CIRCULAR,0.75,0,0,0,1, 
SWD4031534,CIRCULAR,0.3,0,0,0,1, 
SWD4031553,CIRCULAR,0.3,0,0,0,1, 
SWD4031573,CIRCULAR,0.9,0,0,0,1, 
SWD4031576,CIRCULAR,0.15,0,0,0,1, 
SWD4032058,CIRCULAR,0.525,0,0,0,1, 
SWD4032064,CIRCULAR,0.825,0,0,0,1, 
SWD4031930,CIRCULAR,0.375,0,0,0,1, 
SWD4031935,CIRCULAR,0.525,0,0,0,1, 
SWD4031621,CIRCULAR,0.3,0,0,0,1, 
SWD4031611,CIRCULAR,0.225,0,0,0,1, 
SWD4031983,CIRCULAR,0.75,0,0,0,1, 
SWD4031986,CIRCULAR,0.9,0,0,0,1, 
SWD4031989,CIRCULAR,0.9,0,0,0,1, 
SWD4031992,CIRCULAR,1.35,0,0,0,1, 
SWD4031994,CIRCULAR,1.05,0,0,0,1, 
SWD4031632,CIRCULAR,0.6,0,0,0,1, 
SWD4031382,CIRCULAR,0.15,0,0,0,1, 
SWD4031386,CIRCULAR,0.225,0,0,0,1, 
SWD4031389,CIRCULAR,0.15,0,0,0,1, 
SWD4031392,CIRCULAR,0.225,0,0,0,1, 
SWD4031395,CIRCULAR,0.15,0,0,0,1, 
SWD4031405,CIRCULAR,1.5,0,0,0,1, 
SWD4031705,CIRCULAR,0.45,0,0,0,1, 
SWD4065603,CIRCULAR,0.45,0,0,0,1, 
SWD4065607,CIRCULAR,0.675,0,0,0,1, 
SWD4032062,CIRCULAR,0.825,0,0,0,1, 
SWD4068020,CIRCULAR,1.65,0,0,0,1, 
SWD4068002,CIRCULAR,0.225,0,0,0,1, 
SWD4069640,CIRCULAR,0.45,0,0,0,1, 
SWD4097922,CIRCULAR,0.375,0,0,0,1, 
SWD4031541,CIRCULAR,0.6,0,0,0,1, 
SWD4031692,CIRCULAR,0.825,0,0,0,1, 
SWD4032104,CIRCULAR,0.6,0,0,0,1, 
SWD4031696,CIRCULAR,0.3,0,0,0,1, 
SWD4031699,CIRCULAR,0.45,0,0,0,1, 
SWD4031301,CIRCULAR,1.35,0,0,0,1, 
SWD4031304,CIRCULAR,1.35,0,0,0,1, 
SWD4031311,CIRCULAR,0.3,0,0,0,1, 
SWD4031314,CIRCULAR,1.35,0,0,0,1, 
SWD4032070,CIRCULAR,0.9,0,0,0,1, 
SWD4101323,CIRCULAR,0.45,0,0,0,1, 
SWD4031272,CIRCULAR,0.375,0,0,0,1, 
SWD4031276,CIRCULAR,0.45,0,0,0,1, 
SWD4031279,CIRCULAR,0.45,0,0,0,1, 
SWD4031557,CIRCULAR,0.225,0,0,0,1, 
SWD4031565,CIRCULAR,0.45,0,0,0,1, 
SWD4032457,CIRCULAR,0.375,0,0,0,1, 
SWD4032491,CIRCULAR,0.3,0,0,0,1, 
SWD4031420,CIRCULAR,0.525,0,0,0,1, 
SWD4031423,CIRCULAR,0.525,0,0,0,1, 
SWD4031434,CIRCULAR,1.2,0,0,0,1, 
SWD4031437,CIRCULAR,0.6,0,0,0,1, 
SWD4031440,CIRCULAR,0.225,0,0,0,1, 
SWD4031567,CIRCULAR,0.45,0,0,0,1, 
SWD4031574,CIRCULAR,0.15,0,0,0,1, 
SWD4031586,CIRCULAR,0.825,0,0,0,1, 
SWD4031589,CIRCULAR,1.2,0,0,0,1, 
SWD4031409,CIRCULAR,0.225,0,0,0,1, 
SWD4031412,CIRCULAR,0.3,0,0,0,1, 
SWD4031415,CIRCULAR,0.225,0,0,0,1, 
SWD4134880,CIRCULAR,0.375,0,0,0,1, 
SWD4134881,CIRCULAR,0.375,0,0,0,1, 
SWD4013553,CIRCULAR,0.225,0,0,0,1, 
SWD4013555,CIRCULAR,0.225,0,0,0,1, 
SWD4013556,CIRCULAR,0.375,0,0,0,1, 
SWD4013550,CIRCULAR,0.225,0,0,0,1, 
SWD4013551,CIRCULAR,0.3,0,0,0,1, 
SWD4013552,CIRCULAR,0.225,0,0,0,1, 
SWD4014728,CIRCULAR,0.45,0,0,0,1, 
SWD4025967,CIRCULAR,0.3,0,0,0,1, 
SWD4031673,CIRCULAR,0.9,0,0,0,1, 
SWD4031682,CIRCULAR,0.225,0,0,0,1, 
SWD4031683,CIRCULAR,0.675,0,0,0,1, 
SWD4031684,CIRCULAR,0.675,0,0,0,1, 
SWD4031581,CIRCULAR,0.225,0,0,0,1, 
SWD4031612,CIRCULAR,0.3,0,0,0,1, 
SWD4031619,CIRCULAR,0.225,0,0,0,1, 
SWD4032176,CIRCULAR,0.3,0,0,0,1, 
SWD4031685,CIRCULAR,0.825,0,0,0,1, 
SWD4031686,CIRCULAR,0.825,0,0,0,1, 
SWD4031688,CIRCULAR,0.825,0,0,0,1, 
SWD4031689,CIRCULAR,0.825,0,0,0,1, 
SWD4031691,CIRCULAR,0.825,0,0,0,1, 
SWD4032562,CIRCULAR,1.05,0,0,0,1, 
SWD4031539,CIRCULAR,0.75,0,0,0,1, 
SWD4031546,CIRCULAR,0.75,0,0,0,1, 
SWD4032047,CIRCULAR,0.9,0,0,0,1, 
SWD4032068,CIRCULAR,0.9,0,0,0,1, 
SWD4032179,CIRCULAR,0.75,0,0,0,1, 
SWD4032573,CIRCULAR,0.75,0,0,0,1, 
SWD4032032,CIRCULAR,0.6,0,0,0,1, 
SWD4032034,CIRCULAR,0.3,0,0,0,1, 
SWD4032035,CIRCULAR,0.45,0,0,0,1, 
SWD4032037,CIRCULAR,0.525,0,0,0,1, 
SWD4032038,CIRCULAR,0.6,0,0,0,1, 
SWD4032040,CIRCULAR,0.675,0,0,0,1, 
SWD4032043,CIRCULAR,0.75,0,0,0,1, 
SWD4032044,CIRCULAR,0.9,0,0,0,1, 
SWD4032046,CIRCULAR,0.9,0,0,0,1, 
SWD4032048,CIRCULAR,0.9,0,0,0,1, 
SWD4032050,CIRCULAR,1.05,0,0,0,1, 
SWD4032051,CIRCULAR,1.05,0,0,0,1, 
SWD4031509,CIRCULAR,0.375,0,0,0,1, 
SWD4031511,CIRCULAR,0.3,0,0,0,1, 
SWD4031512,CIRCULAR,0.3,0,0,0,1, 
SWD4031514,CIRCULAR,0.375,0,0,0,1, 
SWD4031516,CIRCULAR,0.375,0,0,0,1, 
SWD4031518,CIRCULAR,0.525,0,0,0,1, 
SWD4031519,CIRCULAR,0.525,0,0,0,1, 
SWD4031521,CIRCULAR,0.6,0,0,0,1, 
SWD4031523,CIRCULAR,0.45,0,0,0,1, 
SWD4031530,CIRCULAR,1.2,0,0,0,1, 
SWD4031536,CIRCULAR,0.45,0,0,0,1, 
SWD4031540,CIRCULAR,0.75,0,0,0,1, 
SWD4031542,CIRCULAR,0.6,0,0,0,1, 
SWD4031457,CIRCULAR,0.525,0,0,0,1, 
SWD4031458,CIRCULAR,0.525,0,0,0,1, 
SWD4031459,CIRCULAR,0.525,0,0,0,1, 
SWD4032053,CIRCULAR,1.05,0,0,0,1, 
SWD4032054,CIRCULAR,0.3,0,0,0,1, 
SWD4031526,CIRCULAR,0.825,0,0,0,1, 
SWD40315292,CIRCULAR,1.35,0,0,0,1, 
SWD4031532,CIRCULAR,0.225,0,0,0,1, 
SWD4031533,CIRCULAR,0.225,0,0,0,1, 
SWD4031548,CIRCULAR,0.375,0,0,0,1, 
SWD4031549,CIRCULAR,0.3,0,0,0,1, 
SWD4031380,CIRCULAR,0.3,0,0,0,1, 
SWD4032564,CIRCULAR,0.6,0,0,0,1, 
SWD4032061,CIRCULAR,0.825,0,0,0,1, 
SWD4032063,CIRCULAR,0.825,0,0,0,1, 
SWD4031460,CIRCULAR,0.525,0,0,0,1, 
SWD4031462,CIRCULAR,0.525,0,0,0,1, 
SWD4031463,CIRCULAR,0.6,0,0,0,1, 
SWD4031466,CIRCULAR,0.225,0,0,0,1, 
SWD4032566,CIRCULAR,0.3,0,0,0,1, 
SWD4031381,CIRCULAR,0.15,0,0,0,1, 
SWD4032056,CIRCULAR,0.525,0,0,0,1, 
SWD4032057,CIRCULAR,0.525,0,0,0,1, 
SWD4032065,CIRCULAR,0.825,0,0,0,1, 
SWD4031467,CIRCULAR,0.3,0,0,0,1, 
SWD4031470,CIRCULAR,0.225,0,0,0,1, 
SWD4031383,CIRCULAR,0.15,0,0,0,1, 
SWD4031385,CIRCULAR,0.225,0,0,0,1, 
SWD4031387,CIRCULAR,0.225,0,0,0,1, 
SWD4031388,CIRCULAR,0.15,0,0,0,1, 
SWD4031390,CIRCULAR,0.225,0,0,0,1, 
SWD4031391,CIRCULAR,0.225,0,0,0,1, 
SWD4031394,CIRCULAR,0.3,0,0,0,1, 
SWD4031396,CIRCULAR,0.3,0,0,0,1, 
SWD4031397,CIRCULAR,0.15,0,0,0,1, 
SWD4031398,CIRCULAR,0.15,0,0,0,1, 
SWD4031399,CIRCULAR,0.15,0,0,0,1, 
SWD4031400,CIRCULAR,0.15,0,0,0,1, 
SWD4031401,CIRCULAR,0.15,0,0,0,1, 
SWD4032180,CIRCULAR,0.3,0,0,0,1, 
SWD4032470,CIRCULAR,0.225,0,0,0,1, 
SWD4032471,CIRCULAR,0.225,0,0,0,1, 
SWD4031402,CIRCULAR,0.3,0,0,0,1, 
SWD4031404,CIRCULAR,1.5,0,0,0,1, 
SWD4031406,CIRCULAR,0.3,0,0,0,1, 
SWD4031694,CIRCULAR,0.225,0,0,0,1, 
SWD4031483,CIRCULAR,0.225,0,0,0,1, 
SWD4031537,CIRCULAR,0.45,0,0,0,1, 
SWD4031271,CIRCULAR,0.375,0,0,0,1, 
SWD4031274,CIRCULAR,0.45,0,0,0,1, 
SWD4031278,CIRCULAR,0.45,0,0,0,1, 
SWD4031281,CIRCULAR,0.45,0,0,0,1, 
SWD4032023,CIRCULAR,0.225,0,0,0,1, 
SWD4032024,CIRCULAR,0.225,0,0,0,1, 
SWD4031297,CIRCULAR,0.825,0,0,0,1, 
SWD4031298,CIRCULAR,1.2,0,0,0,1, 
SWD4031358,CIRCULAR,0.675,0,0,0,1, 
SWD4031465,CIRCULAR,0.9,0,0,0,1, 
SWD4031469,CIRCULAR,0.45,0,0,0,1, 
SWD4031474,CIRCULAR,0.225,0,0,0,1, 
SWD4031475,CIRCULAR,0.225,0,0,0,1, 
SWD4031476,CIRCULAR,1.35,0,0,0,1, 
SWD4031477,CIRCULAR,0.225,0,0,0,1, 
SWD4031478,CIRCULAR,0.3,0,0,0,1, 
SWD4031479,CIRCULAR,0.3,0,0,0,1, 
SWD4031283,CIRCULAR,0.525,0,0,0,1, 
SWD4031284,CIRCULAR,0.525,0,0,0,1, 
SWD4032026,CIRCULAR,0.225,0,0,0,1, 
SWD4032027,CIRCULAR,0.15,0,0,0,1, 
SWD4032028,CIRCULAR,0.15,0,0,0,1, 
SWD4032029,CIRCULAR,0.225,0,0,0,1, 
SWD4032030,CIRCULAR,0.6,0,0,0,1, 
SWD4031937,CIRCULAR,0.6,0,0,0,1, 
SWD4031939,CIRCULAR,0.675,0,0,0,1, 
SWD4031942,CIRCULAR,0.225,0,0,0,1, 
SWD4031943,CIRCULAR,0.225,0,0,0,1, 
SWD4031489,CIRCULAR,0.45,0,0,0,1, 
SWD4031491,CIRCULAR,0.45,0,0,0,1, 
SWD4031493,CIRCULAR,0.225,0,0,0,1, 
SWD4031496,CIRCULAR,0.3,0,0,0,1, 
SWD4031497,CIRCULAR,0.375,0,0,0,1, 
SWD4031498,CIRCULAR,0.375,0,0,0,1, 
SWD4031499,CIRCULAR,0.375,0,0,0,1, 
SWD4031501,CIRCULAR,0.375,0,0,0,1, 
SWD4031502,CIRCULAR,0.375,0,0,0,1, 
SWD4031504,CIRCULAR,0.45,0,0,0,1, 
SWD4031426,CIRCULAR,0.525,0,0,0,1, 
SWD4031428,CIRCULAR,1.05,0,0,0,1, 
SWD4031701,CIRCULAR,0.45,0,0,0,1, 
SWD4031703,CIRCULAR,0.45,0,0,0,1, 
SWD4031987,CIRCULAR,0.9,0,0,0,1, 
SWD4031988,CIRCULAR,0.9,0,0,0,1, 
SWD4031990,CIRCULAR,1.35,0,0,0,1, 
SWD4031991,CIRCULAR,1.35,0,0,0,1, 
SWD4031993,CIRCULAR,1.05,0,0,0,1, 
SWD4031921,CIRCULAR,0.225,0,0,0,1, 
SWD4031922,CIRCULAR,0.225,0,0,0,1, 
SWD4031924,CIRCULAR,0.3,0,0,0,1, 
SWD4031925,CIRCULAR,0.375,0,0,0,1, 
SWD4031926,CIRCULAR,0.375,0,0,0,1, 
SWD4031597,CIRCULAR,0.3,0,0,0,1, 
SWD4031599,CIRCULAR,0.975,0,0,0,1, 
SWD4032473,CIRCULAR,0.15,0,0,0,1, 
SWD4032711,CIRCULAR,0.375,0,0,0,1, 
SWD4032718,CIRCULAR,0.3,0,0,0,1, 
SWD4031984,CIRCULAR,0.75,0,0,0,1, 
SWD4031554,CIRCULAR,0.3,0,0,0,1, 
SWD4031555,CIRCULAR,0.3,0,0,0,1, 
SWD4031559,CIRCULAR,0.75,0,0,0,1, 
SWD4031560,CIRCULAR,0.75,0,0,0,1, 
SWD4031575,CIRCULAR,0.15,0,0,0,1, 
SWD4031577,CIRCULAR,0.225,0,0,0,1, 
SWD4031985,CIRCULAR,0.9,0,0,0,1, 
SWD4031471,CIRCULAR,0.45,0,0,0,1, 
SWD4031505,CIRCULAR,0.45,0,0,0,1, 
SWD4032105,CIRCULAR,0.675,0,0,0,1, 
SWD4032108,CIRCULAR,0.525,0,0,0,1, 
SWD4032114,CIRCULAR,0.825,0,0,0,1, 
SWD4032115,CIRCULAR,0.525,0,0,0,1, 
SWD4031543,CIRCULAR,0.75,0,0,0,1, 
SWD4031544,CIRCULAR,0.75,0,0,0,1, 
SWD4031545,CIRCULAR,0.75,0,0,0,1, 
SWD4031547,CIRCULAR,0.75,0,0,0,1, 
SWD4031551,CIRCULAR,0.225,0,0,0,1, 
SWD4031552,CIRCULAR,0.225,0,0,0,1, 
SWD4032085,CIRCULAR,0.6,0,0,0,1, 
SWD4032087,CIRCULAR,0.375,0,0,0,1, 
SWD4032091,CIRCULAR,0.525,0,0,0,1, 
SWD4031506,CIRCULAR,0.45,0,0,0,1, 
SWD4031508,CIRCULAR,0.45,0,0,0,1, 
SWD4032069,CIRCULAR,0.9,0,0,0,1, 
SWD4032071,CIRCULAR,0.9,0,0,0,1, 
SWD4032072,CIRCULAR,0.9,0,0,0,1, 
SWD4032074,CIRCULAR,1.35,0,0,0,1, 
SWD4032076,CIRCULAR,1.35,0,0,0,1, 
SWD4032077,CIRCULAR,1.275,0,0,0,1, 
SWD4032078,CIRCULAR,1.275,0,0,0,1, 
SWD4032459,CIRCULAR,0.45,0,0,0,1, 
SWD4032461,CIRCULAR,0.45,0,0,0,1, 
SWD4032083,CIRCULAR,0.375,0,0,0,1, 
SWD4032084,CIRCULAR,0.6,0,0,0,1, 
SWD4032462,CIRCULAR,0.45,0,0,0,1, 
SWD4032465,CIRCULAR,0.375,0,0,0,1, 
SWD4032469,CIRCULAR,0.45,0,0,0,1, 
SWD4032490,CIRCULAR,0.3,0,0,0,1, 
SWD4032492,CIRCULAR,0.375,0,0,0,1, 
SWD4031418,CIRCULAR,0.3,0,0,0,1, 
SWD4031419,CIRCULAR,0.375,0,0,0,1, 
SWD4031421,CIRCULAR,0.525,0,0,0,1, 
SWD4031424,CIRCULAR,0.525,0,0,0,1, 
SWD4031425,CIRCULAR,0.525,0,0,0,1, 
SWD4032082,CIRCULAR,0.3,0,0,0,1, 
SWD4032101,CIRCULAR,0.6,0,0,0,1, 
SWD4032102,CIRCULAR,0.6,0,0,0,1, 
SWD4032103,CIRCULAR,0.6,0,0,0,1, 
SWD4031695,CIRCULAR,0.225,0,0,0,1, 
SWD4031473,CIRCULAR,0.3,0,0,0,1, 
SWD4031481,CIRCULAR,0.225,0,0,0,1, 
SWD4031482,CIRCULAR,0.375,0,0,0,1, 
SWD4031485,CIRCULAR,0.3,0,0,0,1, 
SWD4031486,CIRCULAR,0.3,0,0,0,1, 
SWD4031488,CIRCULAR,0.3,0,0,0,1, 
SWD4032093,CIRCULAR,0.3,0,0,0,1, 
SWD4032094,CIRCULAR,0.375,0,0,0,1, 
SWD4032095,CIRCULAR,0.375,0,0,0,1, 
SWD4032458,CIRCULAR,0.45,0,0,0,1, 
SWD4031608,CIRCULAR,0.45,0,0,0,1, 
SWD4031620,CIRCULAR,0.375,0,0,0,1, 
SWD4031931,CIRCULAR,0.375,0,0,0,1, 
SWD4031932,CIRCULAR,0.45,0,0,0,1, 
SWD4031936,CIRCULAR,0.6,0,0,0,1, 
SWD4031927,CIRCULAR,0.375,0,0,0,1, 
SWD4031929,CIRCULAR,0.375,0,0,0,1, 
SWD4032014,CIRCULAR,0.9,0,0,0,1, 
SWD4032015,CIRCULAR,1.05,0,0,0,1, 
SWD4032017,CIRCULAR,1.05,0,0,0,1, 
SWD4032018,CIRCULAR,1.05,0,0,0,1, 
SWD4032020,CIRCULAR,0.3,0,0,0,1, 
SWD4032021,CIRCULAR,0.3,0,0,0,1, 
SWD4031598,CIRCULAR,0.225,0,0,0,1, 
SWD4031627,CIRCULAR,0.225,0,0,0,1, 
SWD4031629,CIRCULAR,0.225,0,0,0,1, 
SWD4031630,CIRCULAR,0.225,0,0,0,1, 
SWD4031631,CIRCULAR,0.225,0,0,0,1, 
SWD4031633,CIRCULAR,0.6,0,0,0,1, 
SWD4031407,CIRCULAR,0.3,0,0,0,1, 
SWD4031410,CIRCULAR,0.225,0,0,0,1, 
SWD4031601,CIRCULAR,0.45,0,0,0,1, 
SWD4031602,CIRCULAR,0.45,0,0,0,1, 
SWD4031604,CIRCULAR,0.45,0,0,0,1, 
SWD4031607,CIRCULAR,0.6,0,0,0,1, 
SWD4031286,CIRCULAR,0.525,0,0,0,1, 
SWD4031303,CIRCULAR,1.35,0,0,0,1, 
SWD4031306,CIRCULAR,1.35,0,0,0,1, 
SWD4031307,CIRCULAR,1.35,0,0,0,1, 
SWD4031310,CIRCULAR,0.3,0,0,0,1, 
SWD4031312,CIRCULAR,0.3,0,0,0,1, 
SWD4031313,CIRCULAR,0.525,0,0,0,1, 
SWD4031997,CIRCULAR,1.05,0,0,0,1, 
SWD4031998,CIRCULAR,1.05,0,0,0,1, 
SWD4032000,CIRCULAR,0.3,0,0,0,1, 
SWD4032002,CIRCULAR,0.375,0,0,0,1, 
SWD4032011,CIRCULAR,0.75,0,0,0,1, 
SWD4032012,CIRCULAR,0.75,0,0,0,1, 
SWD4031411,CIRCULAR,1.5,0,0,0,1, 
SWD40314131,CIRCULAR,1.5,0,0,0,1, 
SWD4031414,CIRCULAR,1.5,0,0,0,1, 
SWD4031416,CIRCULAR,0.225,0,0,0,1, 
SWD4031417,CIRCULAR,1.5,0,0,0,1, 
SWD4031558,CIRCULAR,0.225,0,0,0,1, 
SWD4031561,CIRCULAR,0.825,0,0,0,1, 
SWD4031563,CIRCULAR,0.45,0,0,0,1, 
SWD4031564,CIRCULAR,0.375,0,0,0,1, 
SWD4031566,CIRCULAR,0.45,0,0,0,1, 
SWD4031568,CIRCULAR,0.75,0,0,0,1, 
SWD4031571,CIRCULAR,0.9,0,0,0,1, 
SWD4031572,CIRCULAR,0.9,0,0,0,1, 
SWD4031585,CIRCULAR,0.825,0,0,0,1, 
SWD4031587,CIRCULAR,0.825,0,0,0,1, 
SWD4031588,CIRCULAR,1.2,0,0,0,1, 
SWD4031590,CIRCULAR,1.275,0,0,0,1, 
SWD4031981,CIRCULAR,0.6,0,0,0,1, 
SWD4031982,CIRCULAR,0.75,0,0,0,1, 
SWD4031315,CIRCULAR,1.35,0,0,0,1, 
SWD4031618,CIRCULAR,0.225,0,0,0,1, 
SWD4031384,CIRCULAR,0.1,0,0,0,1, 
SWD4031275,CIRCULAR,0.45,0,0,0,1, 
SWD4032493,CIRCULAR,0.45,0,0,0,1, 
SWD4031285,CIRCULAR,0.525,0,0,0,1, 
SWD4031429,CIRCULAR,1.05,0,0,0,1, 
SWD4031430,CIRCULAR,1.05,0,0,0,1, 
SWD4031431,CIRCULAR,1.2,0,0,0,1, 
SWD4031435,CIRCULAR,1.2,0,0,0,1, 
SWD4032494,CIRCULAR,0.225,0,0,0,1, 
SWD4031452,CIRCULAR,0.45,0,0,0,1, 
SWD4031453,CIRCULAR,0.45,0,0,0,1, 
SWD4031455,CIRCULAR,0.525,0,0,0,1, 
SWD4031456,CIRCULAR,0.525,0,0,0,1, 
SWD4031591,CIRCULAR,1.275,0,0,0,1, 
SWD4031593,CIRCULAR,0.3,0,0,0,1, 
SWD4031594,CIRCULAR,0.525,0,0,0,1, 
SWD4031436,CIRCULAR,1.35,0,0,0,1, 
SWD4031438,CIRCULAR,0.6,0,0,0,1, 
SWD4031441,CIRCULAR,0.6,0,0,0,1, 
SWD4031442,CIRCULAR,0.6,0,0,0,1, 
SWD4031446,CIRCULAR,0.375,0,0,0,1, 
SWD4031449,CIRCULAR,0.375,0,0,0,1, 
SWD4031450,CIRCULAR,0.45,0,0,0,1, 
SWD4036083,CIRCULAR,0.375,0,0,0,1, 
SWD4042094,CIRCULAR,0.225,0,0,0,1, 
SWD4042095,CIRCULAR,0.825,0,0,0,1, 
SWD4062129,CIRCULAR,0.75,0,0,0,1, 
SWD4062131,CIRCULAR,0.75,0,0,0,1, 
SWD4062132,CIRCULAR,0.75,0,0,0,1, 
SWD4062133,CIRCULAR,0.75,0,0,0,1, 
SWD4062136,CIRCULAR,0.6,0,0,0,1, 
SWD4069591,CIRCULAR,1.2,0,0,0,1, 
SWD4065616,CIRCULAR,0.825,0,0,0,1, 
SWD4065604,CIRCULAR,0.825,0,0,0,1, 
SWD4065606,CIRCULAR,0.825,0,0,0,1, 
SWD4065608,CIRCULAR,0.525,0,0,0,1, 
SWD4065609,CIRCULAR,0.675,0,0,0,1, 
SWD4065612,CIRCULAR,0.675,0,0,0,1, 
SWD4062143,CIRCULAR,0.6,0,0,0,1, 
SWD4062148,CIRCULAR,0.6,0,0,0,1, 
SWD4068001,CIRCULAR,0.15,0,0,0,1, 
SWD4068006,CIRCULAR,1.35,0,0,0,1, 
SWD4065613,CIRCULAR,0.675,0,0,0,1, 
SWD4065615,CIRCULAR,0.825,0,0,0,1, 
SWD4069660,CIRCULAR,0.375,0,0,0,1, 
SWD4069656,CIRCULAR,0.825,0,0,0,1, 
SWD4070002,CIRCULAR,0.6,0,0,0,1, 
SWD4070003,CIRCULAR,0.6,0,0,0,1, 
SWD4069900,CIRCULAR,1.35,0,0,0,1, 
SWD4068007,CIRCULAR,0.3,0,0,0,1, 
SWD4068003,CIRCULAR,0.225,0,0,0,1, 
SWD4072981,CIRCULAR,0.6,0,0,0,1, 
SWD4082262,CIRCULAR,1.2,0,0,0,1, 
SWD4082263,CIRCULAR,1.2,0,0,0,1, 
SWD4082264,CIRCULAR,1.2,0,0,0,1, 
SWD4082265,CIRCULAR,1.2,0,0,0,1, 
SWD4082270,CIRCULAR,1.2,0,0,0,1, 
SWD4082271,CIRCULAR,1.2,0,0,0,1, 
SWD4082272,CIRCULAR,1.2,0,0,0,1, 
SWD4082276,CIRCULAR,1.2,0,0,0,1, 
SWD4082277,CIRCULAR,1.2,0,0,0,1, 
SWD4082278,CIRCULAR,1.2,0,0,0,1, 
SWD4082281,CIRCULAR,1.2,0,0,0,1, 
SWD4082282,CIRCULAR,1.5,0,0,0,1, 
SWD4082274,CIRCULAR,1.2,0,0,0,1, 
SWD4082280,CIRCULAR,1.2,0,0,0,1, 
SWD4082275,CIRCULAR,1.2,0,0,0,1, 
